,総数,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上
総数,"67,060,400","998,100","4,288,700","5,565,700","5,547,400","6,186,500","6,888,700","8,263,600","8,090,700","6,670,600","5,393,300","3,837,400","3,110,200","1,379,100","578,500","261,900"
50万円未満,"3,494,200","360,800","406,300","116,700","134,300","185,300","199,500","232,200","233,300","224,400","239,500","343,400","417,100","238,700","112,600","50,100"
50～99万円,"6,782,200","369,800","728,400","202,000","282,800","406,000","554,700","672,100","686,400","555,200","574,900","658,600","654,400","290,500","107,900","38,300"
100～149万円,"6,039,500","50,600","276,600","292,300","350,600","436,600","548,100","699,100","715,900","604,500","610,100","633,800","531,800","200,200","62,600","27,000"
150～199万円,"4,196,800","54,300","342,000","321,500","303,200","333,700","341,500","422,500","426,800","364,600","432,200","392,400","294,800","113,900","39,000","14,300"
200～249万円,"6,627,700","81,100","798,900","773,300","559,800","561,900","553,800","634,400","642,300","541,200","641,900","434,800","269,400","86,400","37,200","11,300"
250～299万円,"5,189,600","36,300","666,200","705,500","502,300","479,800","453,900","507,900","505,300","395,200","471,000","245,100","144,400","51,400","18,800","6,500"
300～399万円,"9,457,800","18,400","741,600","1,515,300","1,102,400","969,900","952,400","1,056,400","927,400","735,000","780,000","344,100","191,100","78,200","29,900","15,700"
400～499万円,"7,155,300","2,300","191,200","986,600","949,300","899,000","908,600","967,100","820,500","602,900","484,100","182,200","101,100","34,300","16,600","9,600"
500～599万円,"4,903,300","400","43,900","359,400","663,900","698,600","682,400","791,800","696,800","510,800","260,500","94,500","54,500","24,700","13,900","7,100"
600～699万円,"3,425,500","100","8,000","127,400","301,200","446,700","557,400","647,100","582,600","451,700","178,800","63,000","34,400","14,600","6,600","6,000"
700～799万円,"2,415,300","-","5,700","43,000","127,500","239,900","365,600","493,600","496,300","443,600","125,700","38,000","21,600","8,100","4,500","2,300"
800～899万円,"1,596,600","-","500","18,000","61,800","150,300","201,000","311,600","365,000","326,400","97,800","30,100","16,900","10,600","4,500","2,000"
900～999万円,"1,034,500","200","100","7,600","45,000","78,700","128,800","196,700","238,000","212,800","69,100","28,200","14,400","8,300","4,200","2,300"
1000～1249万円,"1,471,400","-","1,600","10,300","49,700","105,000","171,600","275,900","348,100","298,200","108,500","42,200","29,200","17,500","6,600","7,100"
1250～1499万円,"423,400","-","200","3,500","11,400","24,300","43,500","71,000","99,200","85,900","40,100","21,400","13,700","5,600","2,500","1,100"
1500万円以上,"672,700","100","200","3,300","11,800","38,600","68,000","90,000","107,500","135,500","92,800","56,800","37,800","14,800","9,500","6,000"
